clubname,country,phonenumber,email,yearestablished,homearena,league,championshipswon,website,lightteamcolor,darkteamcolor,headcoachfirstname,headcoachlastname,playerfirstname,playerlastname,playerposition,playerjerseynumber,playernationality
Kolstad Håndbold,Norway,+47 90151568,jostein.sivertsen@kolstad-handball.no,1972,Trondheim Spektrum,REMA 1000-ligaen,2,www.kolstad-handball.no,White,Red,Christian,Berge,Sigvaldi Björn,Gudjonsson,Right Wing,48,Iceland
Kolstad Håndbold,Norway,+47 90151568,jostein.sivertsen@kolstad-handball.no,1972,Trondheim Spektrum,REMA 1000-ligaen,2,www.kolstad-handball.no,White,Red,Christian,Berge,Simon,Jeppsson,Left Back,42,Sweden
Kolstad Håndbold,Norway,+47 90151568,jostein.sivertsen@kolstad-handball.no,1972,Trondheim Spektrum,REMA 1000-ligaen,2,www.kolstad-handball.no,White,Red,Christian,Berge,Aksel,Hald,Right Back,2,Norway
Kolstad Håndbold,Norway,+47 90151568,jostein.sivertsen@kolstad-handball.no,1972,Trondheim Spektrum,REMA 1000-ligaen,2,www.kolstad-handball.no,White,Red,Christian,Berge,Sander,Sagosen,Centre Back,23,Norway
Kolstad Håndbold,Norway,+47 90151568,jostein.sivertsen@kolstad-handball.no,1972,Trondheim Spektrum,REMA 1000-ligaen,2,www.kolstad-handball.no,White,Red,Christian,Berge,Magnus,Gullerud,Line Player,14,Norway
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,Vladimir,Cupara,Goalkeeper,1,Serbia
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,Nicusor Andrei,Negru,Left Wing,24,Romania
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,Andrii,Akimenko,Right Wing,55,Ukraine
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,André,Gomes,Left Back,27,Portugal
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,Stanislav,Kasparek,Right Back,37,Czech Republic
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,Haukur,Thrastarson,Centre Back,25,Iceland
Dinamo Bucuresti,Romania,+40 21 2101288,office@csdinamo.ro,1953,Sala Polivalentă Dinamo,Liga Națională,36,www.csdinamo.eu,White,Red,David,Davis Camara,Miklós,Rosta,Line Player,45,Hungary
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Lasse,Ludwig,Goalkeeper,1,Germany
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Tim,Freihöfer,Left Wing,20,Germany
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Hákun,Av Teigum,Right Wing,34,Faroe Islands
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Paul,Drux,Left Back,95,Germany
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Max,Beneke,Right Back,27,Germany
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Nils,Lichtlein,Centre Back,17,Germany
Füchse Berlin,Germany,+49 175 5870475,zerbe@fuechse.berlin,1891,Max-Schmeling-Halle,Handball-Bundesliga,7,www.fuechse.berlin,Pink,Black,Jaron,Siewert,Mijajlo,Marsenić,Line Player,93,Serbia
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Bekir,Čordalija,Goalkeeper,16,Bosnia and Herzegovina
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Dylan,Nahi,Left Wing,99,France
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Benoit,Kounkoud,Right Wing,7,France
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Tomasz,Gebala,Left Back,48,Poland
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Jorge,Maqueda Peno,Right Back,15,Spain
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Igor,Karačić,Centre Back,18,Croatia
Industria Kielce,Poland,+48 785 373785,p.papaj@kielcehandball.pl,1965,Hala Legionow Kielce,Orlen Superliga,38,www.kielcehandball.pl,Yellow,Black,Talant,Dujshebaev,Artsem,Karalek,Line Player,50,Belarus
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Rodrigo,Corrales Rodal,Goalkeeper,12,Spain
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Hugo,Descat,Left Wing,9,France
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Gasper,Marguč,Right Wing,24,Slovenia
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Patrik,Ligetvári,Left Back,23,Hungary
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Nedim,Remili,Right Back,29,France
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Luka,Cindrić,Centre Back,25,Croatia
Veszprém HC,Hungary,+36 30 5024547,office@handballveszprem.hu,1977,Veszprem Arena,Nemzeti Bajnokság I,67,www.handballveszprem.hu,White,Red,Xavier,Pascual Fuertes,Ludovic,Fabregas,Line Player,89,France
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Ignacio,Biosca García,Goalkeeper,30,Spain
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Pierre-Alexis,Favril,Left Wing,26,France
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Théo,Avelange Demouge,Right Wing,9,France
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Thibaud,Briet,Left Back,3,France
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Ayoub,Abdi,Right Back,8,Algeria
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Lucas,De la Breteche,Centre Back,14,France
HBC Nantes,France,+33 6 64612242,jerome.champenois@hbcnantes.com,1953,Palais des Sports de Beaulieu,LNH Division 1,7,www.hbcnantes.com,White and purple,Black and purple,Gregory,Cojean,Matej,Gaber,Line Player,15,Slovenia
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,Jannick,Green,Goalkeeper,16,Denmark
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,Mathieu,Grebille,Left Wing,20,France
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,David,Balaguer Romeu,Right Wing,19,Spain
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,Jacob,Holm Tandrup,Left Back,32,Denmark
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,Victor,Crenn,Right Back,33,France
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,Dani,Baijens,Centre Back,77,Netherlands
Paris Saint-Germain Handball,France,+33 (0)1 74 314000,tomeyer@psg.fr,1941,Stade Pierre de Coubertin,LNH Division 1,24,www.psg.fr,White,Blue,Raul,Gonzalez Gutierrez,Luka,Karabatić,Line Player,22,France
